评论,时间,点赞数,标签
[傲娇][傲娇][傲娇],2023-03-22 05:21:48,259,0
玩梗要适度 性别认同障碍很痛苦的,2023-03-21 14:18:25,40,0
可是这真的很酷诶，很符合我对人类未来性别的幻想[脱单doge],2023-03-21 17:40:52,18,0
"牙膏我只用中华为的就是刷牙干净速度快,每次只挤5g就行[doge]",2023-03-21 14:42:45,19,0
武装直升机！,2023-03-21 13:23:07,140,0
假如国服更新了那哪个福利多我就是哪个性别[doge],2023-03-23 02:38:04,4,0
"首先，我生理性别是沃尔玛购物袋，但是因为我爱国，用的是华为手机，穿鸿星尔克，开比亚迪，看战狼长津湖。所以我心理性别是大润发购物袋。
同时，我自认为我是生理男，心理女的性别认知障碍的跨性别同性恋。还是一个黑人穆斯林素食主义者，同时向往成为一台武装直升机，加的是航空煤油，但是这和我支持的节能减排理念相违背，所以我励志一台新能源电动武装直升机。
同时我也支持L,G,B,T,Q,I,A,P,K, O等各种未提到的性取向群体。
如果你不能认同我的话，将会是对我的歧视，我会上街游行对你表达抗议，最后我给大家带来一首《华为美》",2023-03-24 03:51:05,2,0
有的梗是真的会影响到部分人的[微笑]，没活可以不整,2023-03-22 15:35:20,4,0
评论区不比视频内容味冲多了,2023-03-22 04:33:46,13,0
华为是什么梗？我这个玩儿华为的，躺着也中枪。[tv_惊吓],2023-03-22 00:30:18,7,0
non binary准确的说是不以传统二元性别论来判定自己性别认知的意思，这一栏问的是gender，和biological sex不一样，gender作为偏社会定义的选择，其选项会多一些，常见的是male/female/nonbinary/prefer not to say，还有大家熟悉的cis-系列，即顺性别（cisgender）和顺直（cishet），此类人群认为自己的社会性别认知与生理性别一致且为异性恋，除此外还有六十余种不同的性别认知但是一般不会列出来而是让你自己填写。如果你在美国做研究，设计实验真的要注意，尤其是社科类，很容易被举报有歧视嫌疑或者“not inclusive”。,2023-03-21 16:28:02,11,0
我的性别是cloudflare[doge][doge][doge],2023-03-23 10:52:35,2,0
首先我的生理性别是男的，但我有性别认知障碍，一直认为自己是个女的。而且我是个同性恋，所以我喜欢女性。同时我是原教旨主义者，所以不能做变性手术变性，并且我有严重的异装癖，所以我只穿男装。还有，我是一个坚定的素食主义者，同时我有非常严重的异食癖。所以我只能吃肉，我是极端动物保护主义者，但我有严重的厌食症，只要身边有人吃素食（包括自己）我就吃不下饭，所以我每天只能和所有人一起吃肉。对了，我对于人种认知也有问题，我认为我是一个黑人，但是我有严重的白化病和肝功能障碍引起的黄疸，所以我得皮肤是黄色的。我有自虐倾向，但是因为我是新教教徒，不能伤害自己的身体不能自虐导致抑郁症。我还有自闭症，间歇性发作，睡眠时候发作，一句话不说。,2023-03-21 23:58:58,17,0
首先我的生理性别是男的，但我有性别认知障碍，一直认为自己是个女的。而且我是个同性恋，所以我喜欢女性。同时我是原教旨主义者，所以不能做变性手术变性，并且我有严重的异装癖，所以我只穿男装。还有，我是一个坚定的素食主义者，同时我有非常严重的异食癖。所以我只能吃肉，我是极端动物保护主义者，但我有严重的厌食症，只要身边有人吃素食（包括自己）我就吃不下饭，所以我每天只能和所有人一起吃肉。对了，我对于人种认知也有问题，我认为我是一个黑人，但是我有严重的白化病和肝功能障碍引起的黄疸，所以我得皮肤是黄色的。我有自虐倾向，但是因为我是新教教徒，不能伤害自己的身体不能自虐导致抑郁症。我还有自闭症，间歇性发作，睡眠时候发作，一句话不说。[妙啊],2023-03-23 12:49:11,4,0
所以说有人知道这个up的性别嘛0.0  纯好奇,2023-03-23 05:26:21,2,0
本人性别：像阳光女孩子但绝对不会雌堕不会吃糖的可爱男孩子[原神_哼],2023-03-22 04:16:52,2,0
为啥买国货就要被嘲讽[惊讶][惊讶],2023-03-22 01:13:13,10,0
额😓 我身份证上的性别就是沃尔玛购物袋。。。,2023-03-22 00:24:34,7,0
华为好呀华为美，华为给我增智慧！,2023-03-22 02:54:19,3,0
"天下手机谁最美，大家都说是华为。
何以华为天下美，用了华为增智慧。",2023-03-22 04:06:13,4,0
[傲娇][傲娇][傲娇],2023-03-22 05:21:48,259,0
玩梗要适度 性别认同障碍很痛苦的,2023-03-21 14:18:25,40,0
可是这真的很酷诶，很符合我对人类未来性别的幻想[脱单doge],2023-03-21 17:40:52,18,0
"牙膏我只用中华为的就是刷牙干净速度快,每次只挤5g就行[doge]",2023-03-21 14:42:45,19,0
武装直升机！,2023-03-21 13:23:07,140,0
假如国服更新了那哪个福利多我就是哪个性别[doge],2023-03-23 02:38:04,4,0
